"","group_id","user_id","time","type","module","correct","content"
"1",1,"6181",1473272857,"chat",NA,NA,"So how should we do this?"
"2",1,"6181",1473272892,"chat",NA,NA,"So I guess one of us should pick c and one should pick a?"
"3",1,"5913",1473272900,"chat",NA,NA,"Yes"
"4",1,"5913",1473272912,"chat",NA,NA,"Ill pick a"
"5",1,"6181",1473272912,"chat",NA,NA,"I'll take a"
"6",1,"5913",1473272920,"chat",NA,NA,"c then"
"7",1,"5913",1473272924,"problem","008EG_COL_H1",1,"choice_2"
"8",1,"6181",1473272926,"chat",NA,NA,"lol"
"9",1,"6181",1473272931,"problem","008EG_COL_H1",1,"choice_0"
"10",1,"5913",1473272937,"chat",NA,NA,"lol"
"11",1,"5913",1473272958,"chat",NA,NA,"Value of C is 12"
"12",1,"6181",1473272963,"chat",NA,NA,"a=48"
"13",1,"6181",1473272988,"problem","008EG_COL_H2",1,"36"
"14",1,"5913",1473273025,"chat",NA,NA,"Any idea?"
"15",1,"6181",1473273039,"chat",NA,NA,"5"
"16",1,"5913",1473273058,"chat",NA,NA,"OKay"
"17",1,"6181",1473273071,"chat",NA,NA,"work for you or are you getting something else?"
"18",1,"5913",1473273084,"chat",NA,NA,"Works for me"
"19",1,"6181",1473273087,"problem","013EN_COL_S",1,"5"
"20",1,"5913",1473273092,"problem","008EG_COL_H2",0,"5"
"21",1,"6181",1473273127,"chat",NA,NA,"got 3 sound about right?"
"22",1,"5913",1473273136,"chat",NA,NA,"Yes, sounds right"
"23",1,"6181",1473273145,"problem","015ED_COL_S",1,"3"
"24",1,"5913",1473273146,"problem","013EN_COL_S",0,"3"
"25",1,"6181",1473273161,"chat",NA,NA,"16?"
"26",1,"5913",1473273178,"chat",NA,NA,"You on the graph one?"
"27",1,"6181",1473273192,"chat",NA,NA,"oh I got 3 for the graph one lol"
"28",1,"5913",1473273201,"problem","015ED_COL_S",1,"3"
"29",1,"5913",1473273209,"chat",NA,NA,"lol"
"30",1,"5913",1473273237,"chat",NA,NA,"Okay, sorry about that"
"31",1,"5913",1473273255,"chat",NA,NA,"-4x, yeah 16"
"32",1,"5913",1473273269,"problem","018EA_COL_S",1,"16"
"33",1,"6181",1473273291,"chat",NA,NA,"which one are you on?"
"34",1,"5913",1473273299,"chat",NA,NA,"The 4x+5y one"
"35",1,"6181",1473273319,"chat",NA,NA,"ok just got there"
"36",1,"6181",1473273390,"chat",NA,NA,"even or oddshould work, what do you want to select"
"37",1,"5913",1473273402,"chat",NA,NA,"Odd, 3"
"38",1,"6181",1473273407,"problem","030EN_COL_M1",1,"Odd"
"39",1,"5913",1473273467,"problem","030EN_COL_M2",1,"Odd"
"40",1,"6181",1473273483,"problem","101AD_COL_J1",0,"3"
"41",1,"6181",1473273514,"problem","020EG_COL_S",0,"20"
"42",1,"6181",1473273539,"problem","035ED_COL_S",1,"71"
"43",1,"5913",1473273552,"problem","020EG_COL_S",0,"80"
"44",1,"6181",1473273565,"problem","040MM_COL_S",1,"6"
"45",1,"5913",1473273581,"problem","101AD_COL_J2",0,"5"
"46",1,"6181",1473273658,"chat",NA,NA,"which one are you on? I'm at the puppy problem"
"47",1,"5913",1473273676,"problem","035ED_COL_S",0,"74"
"48",1,"5913",1473273811,"problem","040MM_COL_S",0,"23"
"49",1,"6181",1473273881,"problem","046MD_COL_H1",1,"choice_2, choice_5"
"50",1,"6181",1473273900,"problem","046MD_COL_H2",1,"n21/5 (my partner disappeared"
"51",1,"5913",1473273941,"problem","046MD_COL_H1",1,"choice_2"
"52",1,"5913",1473273970,"problem","046MD_COL_H2",1,"1/2"
"53",1,"5913",1473274071,"problem","042MN_COL_S",0,"-991"
"54",1,"6181",1473274091,"problem","042MN_COL_S",1,"-990"
"55",1,"6181",1473274137,"problem","044MM_COL_S",1,"8"
"56",1,"5913",1473274149,"problem","044MM_COL_S",0,"18"
"57",1,"5913",1473274213,"problem","050MA_COL_S",0,"1"
"58",1,"6181",1473274221,"problem","050MA_COL_S",1,"3"
"59",1,"5913",1473274236,"problem","063MG_COL_M2",1,"3"
"60",1,"6181",1473274265,"problem","063MG_COL_M1",1,"1/3"
"61",1,"6181",1473274364,"problem","051MN_COL_S",1,"125000"
"62",1,"5913",1473274366,"problem","051MN_COL_S",0,"25000"
"63",1,"5913",1473274387,"problem","060MG_COL_S",0,"35"
"64",1,"6181",1473274404,"problem","060MG_COL_S",1,"50"
"65",1,"5913",1473274414,"problem","065HD_COL_S",0,"24"
"66",1,"5913",1473274425,"problem","082HG_COL_H1",1,"choice_2"
"67",1,"5913",1473274433,"problem","082HG_COL_H2",1,"9"
"68",1,"6181",1473274439,"problem","065HD_COL_S",1,"33"
"69",1,"6181",1473274473,"problem","082HG_COL_H1",1,"choice_0"
"70",1,"6181",1473274475,"problem","082HG_COL_H2",0,""
"71",1,"5913",1473274503,"problem","074HG_COL_S",0,"6"
"72",1,"6181",1473274542,"problem","074HG_COL_S",1,"10"
"73",1,"5913",1473274543,"problem","084HM_COL_S",0,"2.250"
"74",1,"5913",1473274562,"problem","092HD_COL_H1",1,"choice_0, choice_5"
"75",1,"5913",1473274572,"problem","092HD_COL_H2",0,"5"
"76",1,"5913",1473274593,"problem","092HD_COL_S",0,"6"
"77",1,"6181",1473274690,"problem","084HM_COL_S",0,"3.70"
"78",1,"6181",1473274698,"problem","092HD_COL_H2",0,""
"79",1,"6181",1473274727,"problem","092HD_COL_H1",1,"choice_1, choice_3"
"80",1,"5913",1473274736,"problem","075HD_COL_S",0,"40"
"81",1,"6181",1473274796,"problem","075HD_COL_S",0,"57.5"
"82",1,"5913",1473274816,"problem","091HA_COL_S",0,"2.82"
"83",1,"6181",1473274870,"problem","091HA_COL_S",1,"85.9"
"84",1,"6181",1473274900,"problem","096HD_COL_J1",0,""
"85",1,"5913",1473275115,"problem","096HD_COL_J1",0,"15"
"86",2,"5615",1473262256,"chat",NA,NA,"hi"
"87",2,"2074",1473262260,"chat",NA,NA,"Hi"
"88",2,"5615",1473262263,"chat",NA,NA,"are you on question 1?"
"89",2,"2074",1473262268,"chat",NA,NA,"Yes"
"90",2,"5615",1473262310,"chat",NA,NA,"i think the answer is choosing c and a"
"91",2,"2074",1473262316,"chat",NA,NA,"Agreed"
"92",2,"5615",1473262317,"chat",NA,NA,"then we can subtract c from a"
"93",2,"5615",1473262326,"chat",NA,NA,"oh ok"
"94",2,"5615",1473262333,"chat",NA,NA,"ill choose a and you choose c"
"95",2,"2074",1473262337,"chat",NA,NA,"Okay"
"96",2,"5615",1473262341,"problem","008EG_COL_H1",1,"choice_0"
"97",2,"5615",1473262344,"chat",NA,NA,"i got 48"
"98",2,"2074",1473262349,"chat",NA,NA,"C=12"
"99",2,"5615",1473262360,"chat",NA,NA,"so the answer is 36"
"100",2,"5615",1473262364,"problem","008EG_COL_H2",1,"36"
"101",2,"2074",1473262367,"chat",NA,NA,"yes"
"102",2,"2074",1473262379,"problem","008EG_COL_H1",1,"choice_2"
"103",2,"2074",1473262384,"problem","008EG_COL_H2",1,"36"
"104",2,"5615",1473262421,"chat",NA,NA,"so for this one only mutiplying even numbers with an odd numbers will give you an even number so 2 4 6 8 10"
"105",2,"5615",1473262422,"chat",NA,NA,"thats 5"
"106",2,"2074",1473262434,"chat",NA,NA,"that's right"
"107",2,"5615",1473262437,"problem","013EN_COL_S",1,"5"
"108",2,"5615",1473262469,"chat",NA,NA,"temp at 10 is 74 temp at 8 is 71 so 3 degrees greater"
"109",2,"2074",1473262474,"problem","013EN_COL_S",1,"5"
"110",2,"2074",1473262491,"chat",NA,NA,"i got that too"
"111",2,"5615",1473262494,"problem","015ED_COL_S",1,"3"
"112",2,"2074",1473262510,"problem","015ED_COL_S",1,"3"
"113",2,"5615",1473262511,"chat",NA,NA,"i got 16 for this one"
"114",2,"2074",1473262531,"chat",NA,NA,"Yes, I did too."
"115",2,"5615",1473262533,"problem","018EA_COL_S",1,"16"
"116",2,"2074",1473262538,"problem","018EA_COL_S",1,"16"
"117",2,"5615",1473262594,"chat",NA,NA,"so for this one youre choosing x and im choosing y"
"118",2,"2074",1473262604,"chat",NA,NA,"Yes, and two evens make it even"
"119",2,"5615",1473262604,"chat",NA,NA,"it really doesnt matter wha tyou choose but i need to choose an odd number"
"120",2,"2074",1473262621,"chat",NA,NA,"I was thinking that maybe two odds may make it odd"
"121",2,"5615",1473262639,"chat",NA,NA,"yea that works"
"122",2,"5615",1473262648,"problem","030EN_COL_M2",1,"Odd"
"123",2,"2074",1473262654,"chat",NA,NA,"Okay, I'm going with odd"
"124",2,"2074",1473262657,"problem","030EN_COL_M1",1,"Odd"
"125",2,"5615",1473262696,"chat",NA,NA,"so its been 13 years since ive taken geometry so bear with me"
"126",2,"2074",1473262714,"chat",NA,NA,"I'm right around there, so I feel you"
"127",2,"5615",1473262744,"chat",NA,NA,"but i think the answer is 110 its the opposite angle from the 70 and it needs to add up to 180"
"128",2,"5615",1473262752,"chat",NA,NA,"180-70=110"
"129",2,"2074",1473262766,"chat",NA,NA,"Yes, that makes sense"
"130",2,"5615",1473262769,"problem","020EG_COL_S",1,"110"
"131",2,"2074",1473262805,"problem","020EG_COL_S",1,"110"
"132",2,"5615",1473262805,"chat",NA,NA,"what equation did you geti? i got x^2-3x-18=0"
"133",2,"2074",1473262832,"chat",NA,NA,"I have x^2-9x+18=0"
"134",2,"5615",1473262912,"chat",NA,NA,"since theyre both equal to 0 i set them equal to each other and i got x=6"
"135",2,"2074",1473262950,"chat",NA,NA,"yeah, me too"
"136",2,"5615",1473262954,"problem","101AD_COL_J2",1,"6"
"137",2,"2074",1473262971,"problem","101AD_COL_J1",1,"6"
"138",2,"5615",1473262978,"chat",NA,NA,"did you get 71 for this one?"
"139",2,"2074",1473262989,"chat",NA,NA,"hold on a second"
"140",2,"5615",1473262992,"chat",NA,NA,"k"
"141",2,"2074",1473263030,"chat",NA,NA,"that seems right"
"142",2,"5615",1473263040,"problem","035ED_COL_S",1,"71"
"143",2,"2074",1473263064,"problem","035ED_COL_S",1,"71"
"144",2,"5615",1473263065,"chat",NA,NA,"ok did you get 6 for this one?"
"145",2,"2074",1473263082,"chat",NA,NA,"yeah"
"146",2,"5615",1473263087,"problem","040MM_COL_S",1,"6"
"147",2,"2074",1473263102,"problem","040MM_COL_S",1,"6"
"148",2,"5615",1473263232,"chat",NA,NA,"i think we need n21 and n22"
"149",2,"2074",1473263245,"chat",NA,NA,"Those were my thoughts too"
"150",2,"2074",1473263254,"chat",NA,NA,"which one do you want"
"151",2,"5615",1473263263,"chat",NA,NA,"ok ill choose n21 and you choose n22"
"152",2,"2074",1473263272,"problem","046MD_COL_H1",1,"choice_3"
"153",2,"5615",1473263274,"problem","046MD_COL_H1",1,"choice_2"
"154",2,"2074",1473263277,"chat",NA,NA,"I got 3"
"155",2,"5615",1473263283,"chat",NA,NA,"i got 1"
"156",2,"5615",1473263299,"chat",NA,NA,"so prob is .25?"
"157",2,"2074",1473263313,"chat",NA,NA,"I believe so because that is what i got"
"158",2,"5615",1473263317,"problem","046MD_COL_H2",1,".25"
"159",2,"2074",1473263351,"problem","046MD_COL_H2",1,".25"
"160",2,"5615",1473263397,"chat",NA,NA,"did you get 990?"
"161",2,"2074",1473263410,"chat",NA,NA,"yes"
"162",2,"5615",1473263414,"problem","042MN_COL_S",0,"990"
"163",2,"2074",1473263472,"chat",NA,NA,"so would that be -990 since it decreased"
"164",2,"5615",1473263510,"chat",NA,NA,"did you get 8?"
"165",2,"2074",1473263524,"problem","042MN_COL_S",1,"-990"
"166",2,"2074",1473263532,"chat",NA,NA,"yeah"
"167",2,"5615",1473263537,"problem","044MM_COL_S",1,"8"
"168",2,"2074",1473263550,"problem","044MM_COL_S",1,"8"
"169",2,"5615",1473263621,"chat",NA,NA,"i got x=3"
"170",2,"2074",1473263630,"chat",NA,NA,"same"
"171",2,"5615",1473263636,"problem","050MA_COL_S",1,"3"
"172",2,"2074",1473263638,"problem","050MA_COL_S",1,"3"
"173",2,"5615",1473263686,"chat",NA,NA,"if you choose a slope of 1 i thnk than snwer would be easy to solve"
"174",2,"2074",1473263697,"chat",NA,NA,"yeah"
"175",2,"5615",1473263709,"chat",NA,NA,"it would be (-2,0)"
"176",2,"2074",1473263717,"chat",NA,NA,"Okay"
"177",2,"2074",1473263721,"problem","063MG_COL_M1",1,"1"
"178",2,"5615",1473263751,"chat",NA,NA,"and (0,2)"
"179",2,"5615",1473263833,"problem","063MG_COL_M2",1,"-2"
"180",2,"5615",1473263906,"chat",NA,NA,"i got 125000 for this one"
"181",2,"2074",1473263958,"chat",NA,NA,"yeah, me too"
"182",2,"5615",1473263963,"problem","051MN_COL_S",1,"125000"
"183",2,"2074",1473263966,"problem","051MN_COL_S",1,"125000"
"184",2,"5615",1473264014,"chat",NA,NA,"50?"
"185",2,"2074",1473264025,"chat",NA,NA,"yeah"
"186",2,"5615",1473264028,"problem","060MG_COL_S",1,"50"
"187",2,"2074",1473264030,"problem","060MG_COL_S",1,"50"
"188",2,"5615",1473264071,"chat",NA,NA,"its been a while that i had to interpret these but i think its 33"
"189",2,"2074",1473264086,"chat",NA,NA,"yeah"
"190",2,"5615",1473264090,"problem","065HD_COL_S",1,"33"
"191",2,"2074",1473264114,"problem","065HD_COL_S",1,"33"
"192",2,"5615",1473264201,"chat",NA,NA,"i think we need c and b"
"193",2,"2074",1473264216,"chat",NA,NA,"which side do you want?"
"194",2,"5615",1473264225,"chat",NA,NA,"ill take c"
"195",2,"5615",1473264231,"problem","082HG_COL_H1",1,"choice_2"
"196",2,"5615",1473264237,"chat",NA,NA,"its 8"
"197",2,"2074",1473264239,"chat",NA,NA,"6"
"198",2,"5615",1473264265,"chat",NA,NA,"did you get 9.6?"
"199",2,"2074",1473264272,"chat",NA,NA,"yes"
"200",2,"2074",1473264279,"problem","082HG_COL_H1",1,"choice_1"
"201",2,"5615",1473264279,"problem","082HG_COL_H2",1,"9.6"
"202",2,"2074",1473264281,"problem","082HG_COL_H2",1,"9.6"
"203",2,"5615",1473264336,"chat",NA,NA,"10?"
"204",2,"2074",1473264349,"chat",NA,NA,"yes"
"205",2,"5615",1473264351,"problem","074HG_COL_S",1,"10"
"206",2,"2074",1473264355,"problem","074HG_COL_S",1,"10"
"207",2,"5615",1473264423,"chat",NA,NA,"4.71"
"208",2,"2074",1473264446,"chat",NA,NA,"yeah"
"209",2,"5615",1473264449,"problem","084HM_COL_S",1,"4.71"
"210",2,"2074",1473264458,"problem","084HM_COL_S",1,"4.71"
"211",2,"5615",1473264480,"chat",NA,NA,"i think we need totals from a and b"
"212",2,"5615",1473264483,"chat",NA,NA,"i can take a"
"213",2,"2074",1473264489,"chat",NA,NA,"I agree. Okay"
"214",2,"5615",1473264492,"chat",NA,NA,"total sold"
"215",2,"2074",1473264540,"problem","092HD_COL_H1",1,"choice_1, choice_3"
"216",2,"5615",1473264602,"chat",NA,NA,"87.5 and 6.5"
